id,timeInS,studentPlace,distortion,
1,10,02L,AskQuestion,
2,16,02L,Idle,
3,20,11R,Chatting,
4,30,11L,Idle,
5,65,11R,Idle,
6,65,13R,Eating,
7,80,13R,Idle,
8,80,03R,Chatting,
9,95,03L,Idle,
10,95,03R,Idle,
11,80,14R,Staring,
12,95,14R,Idle,
13,80,11L,Staring,
14,95,11L,Idle,
15,100,01R,Hitting,
16,115,01R,Idle,
17,115,01L,Idle,
18,120,05L,Throwing,
19,135,05L,Idle,
20,140,10R,RaiseArm,
21,142,10R,AskQuestion,
22,148,10R,Idle,
23,170,12L,Eating,
24,185,12L,Idle,
25,180,11R,Chatting,
26,195,11R,Idle,
27,195,11L,Idle,
28,200,02L,Playing,
29,215,02L,Idle,
30,215,13L,Hitting,
31,230,13R,Idle,
32,230,13L,Idle,
33,225,03L,Chatting,
34,240,03R,Idle,
35,240,03L,Idle,
36,240,10R,RaiseArm,
37,242,10R,AskQuestion,
38,248,10R,Idle,
39,260,07R,Staring,
40,275,07R,Idle,
41,275,10R,Staring,
42,290,10R,Idle,
43,275,11L,Staring,
44,290,11L,Idle,
45,280,11R,Eating,
46,295,11R,Idle,
47,280,12L,Eating,
48,295,12L,Idle,
49,300,05L,Throwing,
50,315,05L,Idle,
