id,timeInS,studentPlace,distortion,
1,330,02L,Playing,
2,345,02L,Idle,
3,350,11R,Chatting,
4,365,11L,Idle,
5,365,11R,Idle,
6,365,13R,Eating,
7,380,13R,Idle,
8,380,03R,Chatting,
9,395,03L,Idle,
10,395,03R,Idle,
11,380,14R,Staring,
12,395,14R,Idle,
13,380,11L,Staring,
14,395,11L,Idle,
15,400,01R,Hitting,
16,415,01R,Idle,
17,415,01L,Idle,
18,420,05L,Throwing,
19,435,05L,Idle,
20,440,10R,RaiseArm,
21,442,10R,AskQuestion,
22,448,10R,Idle,
23,470,12L,Eating,
24,485,12L,Idle,
25,480,11R,Chatting,
26,495,11R,Idle,
27,495,11L,Idle,
28,500,02L,Playing,
29,515,02L,Idle,
30,515,13L,Hitting,
31,530,13R,Idle,
32,530,13L,Idle,
33,525,03L,Chatting,
34,540,03R,Idle,
35,540,03L,Idle,
36,540,10R,RaiseArm,
37,542,10R,AskQuestion,
38,548,10R,Idle,
39,560,07R,Staring,
40,575,07R,Idle,
41,575,10R,Staring,
42,590,10R,Idle,
43,575,11L,Staring,
44,590,11L,Idle,
45,580,11R,Eating,
46,595,11R,Idle,
47,580,12L,Eating,
48,595,12L,Idle,
49,600,05L,Throwing,
50,615,05L,Idle,
