id,timeInS,studentPlace,distortion,
0,10,02R,eat,
1,20,02R,breathing,
2,341,04L,chatting,
3,356,04L,writing,
4,371,07L,chatting,
5,371,15R,letargic,
6,386,07L,writing,
7,386,15R,breathing,
8,411,03L,throw,
9,426,03L,breathing,
10,431,12L,eat,
11,446,12L,breathing,
12,461,02L,playing,
13,476,02L,writing,
14,521,01L,writing,
15,521,01R,writing,
16,521,02L,writing,
17,521,02R,writing,
18,521,03L,writing,
19,521,03R,writing,
20,521,04L,writing,
21,521,04R,writing,
22,521,05L,writing,
23,521,05R,writing,
24,521,06L,writing,
25,521,06R,writing,
26,521,07L,writing,
27,521,07R,writing,
28,521,08L,writing,
29,521,08R,writing,
30,521,09L,writing,
31,521,09R,writing,
32,521,10L,writing,
33,521,10R,writing,
34,521,11L,writing,
35,521,11R,writing,
36,521,12L,writing,
37,521,12R,writing,
38,521,13L,writing,
39,521,13R,writing,
40,521,14L,writing,
41,521,14R,writing,
42,521,15L,writing,
43,521,15R,writing,
44,551,04L,chatting,
45,566,04L,writing,
46,581,07L,chatting,
47,581,15R,letargic,
48,596,07L,writing,
49,596,15R,writing,
50,621,03L,throw,
51,636,03L,writing,
52,641,12L,eat,
53,656,12L,writing,
54,671,02L,playing,
55,686,02L,writing,
