id,timeInS,studentPlace,distortion,
0,10,02R,eat,
1,20,02R,Idle,
2,311,01L,writing,
3,311,01R,writing,
4,311,02L,writing,
5,311,02R,writing,
6,311,03L,writing,
7,311,03R,writing,
8,311,04L,writing,
9,311,04R,writing,
10,311,05L,writing,
11,311,05R,writing,
12,311,06L,writing,
13,311,06R,writing,
14,311,07L,writing,
15,311,07R,writing,
16,311,08L,writing,
17,311,08R,writing,
18,311,09L,writing,
19,311,09R,writing,
20,311,10L,writing,
21,311,10R,writing,
22,311,11L,writing,
23,311,11R,writing,
24,311,12L,writing,
25,311,12R,writing,
26,311,13L,writing,
27,311,13R,writing,
28,311,14L,writing,
29,311,14R,writing,
30,311,15L,writing,
31,311,15R,writing,
32,341,04L,chatting,
33,356,04L,writing,
34,371,07L,chatting,
35,371,15R,letargic,
36,386,07L,writing,
37,386,15R,writing,
38,411,03L,throw,
39,426,03L,writing,
40,431,12L,eat,
41,446,12L,writing,
42,461,02L,playing,
43,476,02L,writing,
44,551,04L,chatting,
45,566,04L,writing,
46,581,07L,chatting,
47,581,15R,letargic,
48,596,07L,writing,
49,596,15R,Idle,
50,621,03L,throw,
51,636,03L,Idle,
52,641,12L,eat,
53,656,12L,Idle,
54,671,02L,playing,
55,686,02L,writing,
