id,timeInS,studentPlace,distortion,
1,10,01L,Eating,
2,10,01R,Idle,
3,10,05L,Idle,
4,10,07R,Idle,
5,10,11L,Idle,
6,10,12R,Idle,
7,10,13R,Idle,
8,10,14L,Idle,
9,10,14R,Idle,
10,10,15R,Idle,
11,20,01L,Idle,
12,20,01R,Idle,
13,20,05L,Idle,
14,20,07R,Idle,
15,20,11L,Idle,
16,20,12R,Idle,
17,20,13R,Idle,
18,20,14L,Idle,
19,20,14R,Idle,
20,20,15R,Idle,
21,30,01L,Idle,
22,30,01R,Idle,
23,30,05L,Idle,
24,30,07R,Idle,
25,30,11L,Idle,
26,30,12R,Idle,
27,30,13R,Idle,
28,30,14L,Idle,
29,30,14R,Idle,
30,30,15R,Idle,
31,40,01L,Idle,
32,40,01R,Idle,
33,40,05L,Idle,
34,40,07R,Idle,
35,40,11L,Idle,
36,40,12R,Idle,
37,40,13R,Idle,
38,40,14L,Idle,
39,40,14R,Idle,
40,40,15R,Idle,
41,50,01L,Idle,
42,50,01R,Idle,
43,50,05L,Idle,
44,50,07R,Idle,
45,50,11L,Idle,
46,50,12R,Idle,
47,50,13R,Idle,
48,50,14L,Idle,
49,50,14R,Idle,
50,50,15R,Idle,
51,60,01L,Idle,
52,60,01R,Idle,
53,60,05L,Idle,
54,60,07R,Idle,
55,60,11L,Idle,
56,60,12R,Idle,
57,60,13R,Idle,
58,60,14L,Idle,
59,60,14R,Idle,
60,60,15R,Idle,
61,70,01L,Idle,
62,70,01R,Idle,
63,70,05L,Idle,
64,70,07R,Idle,
65,70,11L,Idle,
66,70,12R,Idle,
67,70,13R,Idle,
68,70,14L,Idle,
69,70,14R,Idle,
70,70,15R,Idle,
71,80,01L,Idle,
72,80,01R,Idle,
73,80,05L,Idle,
74,80,07R,Idle,
75,80,11L,Idle,
76,80,12R,Idle,
77,80,13R,Idle,
78,80,14L,Idle,
79,80,14R,Idle,
80,80,15R,Idle,
81,90,01L,Idle,
82,90,01R,Idle,
83,90,05L,Idle,
84,90,07R,Idle,
85,90,11L,Idle,
86,90,12R,Idle,
87,90,13R,Idle,
88,90,14L,Idle,
89,90,14R,Idle,
90,90,15R,Idle,
91,100,01L,Idle,
92,100,01R,Idle,
93,100,05L,Idle,
94,100,07R,Idle,
95,100,11L,Idle,
96,100,12R,Idle,
97,100,13R,Idle,
98,100,14L,Idle,
99,100,14R,Idle,
100,100,15R,Idle,
101,110,01L,Idle,
102,110,01R,Idle,
103,110,05L,Idle,
104,110,07R,Idle,
105,110,11L,Idle,
106,110,12R,Idle,
107,110,13R,Idle,
108,110,14L,Idle,
109,110,14R,Idle,
110,110,15R,Idle,
111,120,01L,Idle,
112,120,01R,Idle,
113,120,05L,Idle,
114,120,07R,Idle,
115,120,11L,Idle,
116,120,12R,Idle,
117,120,13R,Idle,
118,120,14L,Idle,
119,120,14R,Idle,
120,120,15R,Idle,
121,130,01L,Idle,
122,130,01R,Idle,
123,130,05L,Idle,
124,130,07R,Idle,
125,130,11L,Idle,
126,130,12R,Idle,
127,130,13R,Idle,
128,130,14L,Idle,
129,130,14R,Idle,
130,130,15R,Idle,
131,140,01L,Idle,
132,140,01R,Idle,
133,140,05L,Idle,
134,140,07R,Idle,
135,140,11L,Idle,
136,140,12R,Idle,
137,140,13R,Idle,
138,140,14L,Idle,
139,140,14R,Idle,
140,140,15R,Idle,
141,150,01L,Idle,
142,150,01R,Idle,
143,150,05L,Idle,
144,150,07R,Idle,
145,150,11L,Idle,
146,150,12R,Idle,
147,150,13R,Idle,
148,150,14L,Idle,
149,150,14R,Idle,
150,150,15R,Idle,
151,160,01L,Idle,
152,160,01R,Idle,
153,160,05L,Idle,
154,160,07R,Idle,
155,160,11L,Idle,
156,160,12R,Idle,
157,160,13R,Idle,
158,160,14L,Idle,
159,160,14R,Idle,
160,160,15R,Idle,
161,170,01L,Idle,
162,170,01R,Idle,
163,170,05L,Idle,
164,170,07R,Idle,
165,170,11L,Idle,
166,170,12R,Idle,
167,170,13R,Idle,
168,170,14L,Idle,
169,170,14R,Idle,
170,170,15R,Idle,
171,180,01L,Idle,
172,180,01R,Idle,
173,180,05L,Idle,
174,180,07R,Idle,
175,180,11L,Idle,
176,180,12R,Idle,
177,180,13R,Idle,
178,180,14L,Idle,
179,180,14R,Idle,
180,180,15R,Idle,
181,190,01L,Idle,
182,190,01R,Idle,
183,190,05L,Idle,
184,190,07R,Idle,
185,190,11L,Idle,
186,190,12R,Idle,
187,190,13R,Idle,
188,190,14L,Idle,
189,190,14R,Idle,
190,190,15R,Idle,
191,200,01L,Idle,
192,200,01R,Idle,
193,200,05L,Idle,
194,200,07R,Idle,
195,200,11L,Idle,
196,200,12R,Idle,
197,200,13R,Idle,
198,200,14L,Idle,
199,200,14R,Idle,
200,200,15R,Idle,
201,210,01L,Idle,
202,210,01R,Idle,
203,210,05L,Idle,
204,210,07R,Idle,
205,210,11L,Idle,
206,210,12R,Idle,
207,210,13R,Idle,
208,210,14L,Idle,
209,210,14R,Idle,
210,210,15R,Idle,
211,220,01L,Idle,
212,220,01R,Idle,
213,220,05L,Idle,
214,220,07R,Idle,
215,220,11L,Idle,
216,220,12R,Idle,
217,220,13R,Idle,
218,220,14L,Idle,
219,220,14R,Idle,
220,220,15R,Idle,
221,230,01L,Idle,
222,230,01R,Idle,
223,230,05L,Idle,
224,230,07R,Idle,
225,230,11L,Idle,
226,230,12R,Idle,
227,230,13R,Idle,
228,230,14L,Idle,
229,230,14R,Idle,
230,230,15R,Idle,
231,240,01L,Idle,
232,240,01R,Idle,
233,240,05L,Idle,
234,240,07R,Idle,
235,240,11L,Idle,
236,240,12R,Idle,
237,240,13R,Idle,
238,240,14L,Idle,
239,240,14R,Idle,
240,240,15R,Idle,
241,250,01L,Idle,
242,250,01R,Idle,
243,250,05L,Idle,
244,250,07R,Idle,
245,250,11L,Idle,
246,250,12R,Idle,
247,250,13R,Idle,
248,250,14L,Idle,
249,250,14R,Idle,
250,250,15R,Idle,
251,260,01L,Idle,
252,260,01R,Idle,
253,260,05L,Idle,
254,260,07R,Idle,
255,260,11L,Idle,
256,260,12R,Idle,
257,260,13R,Idle,
258,260,14L,Idle,
259,260,14R,Idle,
260,260,15R,Idle,
261,270,01L,Idle,
262,270,01R,Idle,
263,270,05L,Idle,
264,270,07R,Idle,
265,270,11L,Idle,
266,270,12R,Idle,
267,270,13R,Idle,
268,270,14L,Idle,
269,270,14R,Idle,
270,270,15R,Idle,
271,280,01L,Idle,
272,280,01R,Idle,
273,280,05L,Idle,
274,280,07R,Idle,
275,280,11L,Idle,
276,280,12R,Idle,
277,280,13R,Idle,
278,280,14L,Idle,
279,280,14R,Idle,
280,280,15R,Idle,
281,290,01L,Idle,
282,290,01R,Idle,
283,290,05L,Idle,
284,290,07R,Idle,
285,290,11L,Idle,
286,290,12R,Idle,
287,290,13R,Idle,
288,290,14L,Idle,
289,290,14R,Idle,
290,290,15R,Idle,
291,300,01L,Idle,
292,300,01R,Idle,
293,300,05L,Idle,
294,300,07R,Idle,
295,300,11L,Idle,
296,300,12R,Idle,
297,300,13R,Idle,
298,300,14L,Idle,
299,300,14R,Idle,
300,300,15R,Idle,
301,310,01L,Idle,
302,310,01R,Idle,
303,310,05L,Idle,
304,310,07R,Idle,
305,310,11L,Idle,
306,310,12R,Idle,
307,310,13R,Idle,
308,310,14L,Idle,
309,310,14R,Idle,
310,310,15R,Idle,
311,320,01L,Idle,
312,320,01R,Idle,
313,320,05L,Idle,
314,320,07R,Idle,
315,320,11L,Idle,
316,320,12R,Idle,
317,320,13R,Idle,
318,320,14L,Chatting,
319,320,14R,Chatting,
320,320,15R,Idle,
321,330,01L,Idle,
322,330,01R,Idle,
323,330,05L,Idle,
324,330,07R,Idle,
325,330,11L,Idle,
326,330,12R,Idle,
327,330,13R,Idle,
328,330,14L,Idle,
329,330,14R,Idle,
330,330,15R,Idle,
331,340,01L,Idle,
332,340,01R,Idle,
333,340,05L,Idle,
334,340,07R,Idle,
335,340,11L,Idle,
336,340,12R,Idle,
337,340,13R,Idle,
338,340,14L,Idle,
339,340,14R,Idle,
340,340,15R,Idle,
341,350,01L,Idle,
342,350,01R,Idle,
343,350,05L,Idle,
344,350,07R,Staring,
345,350,11L,Idle,
346,350,12R,Idle,
347,350,13R,Idle,
348,350,14L,Idle,
349,350,14R,Idle,
350,350,15R,Idle,
351,360,01L,Idle,
352,360,01R,Idle,
353,360,05L,Idle,
354,360,07R,Idle,
355,360,11L,Idle,
356,360,12R,Idle,
357,360,13R,Idle,
358,360,14L,Idle,
359,360,14R,Idle,
360,360,15R,Idle,
361,370,01L,Idle,
362,370,01R,Idle,
363,370,05L,Idle,
364,370,07R,Idle,
365,370,11L,Idle,
366,370,12R,Idle,
367,370,13R,Idle,
368,370,14L,Idle,
369,370,14R,Idle,
370,370,15R,Idle,
371,380,01L,Idle,
372,380,01R,Idle,
373,380,05L,Idle,
374,380,07R,Idle,
375,380,11L,Idle,
376,380,12R,Idle,
377,380,13R,Idle,
378,380,14L,Idle,
379,380,14R,Idle,
380,380,15R,Idle,
381,390,01L,Idle,
382,390,01R,Idle,
383,390,05L,Staring,
384,390,07R,Idle,
385,390,11L,Idle,
386,390,12R,Idle,
387,390,13R,Idle,
388,390,14L,Idle,
389,390,14R,Idle,
390,390,15R,Idle,
391,400,01L,Idle,
392,400,01R,Idle,
393,400,05L,Idle,
394,400,07R,Idle,
395,400,11L,Idle,
396,400,12R,Idle,
397,400,13R,Idle,
398,400,14L,Idle,
399,400,14R,Idle,
400,400,15R,Idle,
401,410,01L,Idle,
402,410,01R,Playing,
403,410,05L,Idle,
404,410,07R,Idle,
405,410,11L,Idle,
406,410,12R,Idle,
407,410,13R,Idle,
408,410,14L,Idle,
409,410,14R,Idle,
410,410,15R,Idle,
411,420,01L,Idle,
412,420,01R,Idle,
413,420,05L,Idle,
414,420,07R,Idle,
415,420,11L,Idle,
416,420,12R,Idle,
417,420,13R,Idle,
418,420,14L,Chatting,
419,420,14R,Chatting,
420,420,15R,Idle,
421,430,01L,Idle,
422,430,01R,Idle,
423,430,05L,Eating,
424,430,07R,Idle,
425,430,11L,Idle,
426,430,12R,Idle,
427,430,13R,Idle,
428,430,14L,Idle,
429,430,14R,Idle,
430,430,15R,Idle,
431,440,01L,Chatting,
432,440,01R,Chatting,
433,440,05L,Idle,
434,440,07R,Idle,
435,440,11L,Idle,
436,440,12R,Idle,
437,440,13R,Idle,
438,440,14L,Idle,
439,440,14R,Idle,
440,440,15R,Idle,
441,450,01L,Idle,
442,450,01R,Idle,
443,450,05L,Idle,
444,450,07R,Staring,
445,450,11L,Idle,
446,450,12R,Idle,
447,450,13R,Idle,
448,450,14L,Idle,
449,450,14R,Idle,
450,450,15R,Idle,
451,460,01L,Idle,
452,460,01R,Idle,
453,460,05L,Idle,
454,460,07R,Idle,
455,460,11L,Staring,
456,460,12R,Idle,
457,460,13R,Idle,
458,460,14L,Idle,
459,460,14R,Idle,
