id,timeInS,studentPlace,distortion,
1,10,01L,eat,
2,10,1R,breathing,
3,10,5L,breathing,
4,10,7R,breathing,
5,10,11L,breathing,
6,10,12R,breathing,
7,10,13R,breathing,
8,10,14L,breathing,
9,10,14R,breathing,
10,10,15R,breathing,
11,20,1L,breathing,
12,20,1R,breathing,
13,20,5L,breathing,
14,20,7R,breathing,
15,20,11L,breathing,
16,20,12R,breathing,
17,20,13R,breathing,
18,20,14L,breathing,
19,20,14R,breathing,
20,20,15R,breathing,
21,30,1L,breathing,
22,30,1R,breathing,
23,30,5L,breathing,
24,30,7R,breathing,
25,30,11L,breathing,
26,30,12R,breathing,
27,30,13R,breathing,
28,30,14L,breathing,
29,30,14R,breathing,
30,30,15R,breathing,
31,40,1L,breathing,
32,40,1R,breathing,
33,40,5L,breathing,
34,40,7R,breathing,
35,40,11L,breathing,
36,40,12R,breathing,
37,40,13R,breathing,
38,40,14L,breathing,
39,40,14R,breathing,
40,40,15R,breathing,
41,50,1L,breathing,
42,50,1R,breathing,
43,50,5L,breathing,
44,50,7R,breathing,
45,50,11L,breathing,
46,50,12R,breathing,
47,50,13R,breathing,
48,50,14L,breathing,
49,50,14R,breathing,
50,50,15R,breathing,
51,60,1L,breathing,
52,60,1R,breathing,
53,60,5L,breathing,
54,60,7R,breathing,
55,60,11L,breathing,
56,60,12R,breathing,
57,60,13R,breathing,
58,60,14L,breathing,
59,60,14R,breathing,
60,60,15R,breathing,
61,70,1L,breathing,
62,70,1R,breathing,
63,70,5L,breathing,
64,70,7R,breathing,
65,70,11L,breathing,
66,70,12R,breathing,
67,70,13R,breathing,
68,70,14L,breathing,
69,70,14R,breathing,
70,70,15R,breathing,
71,80,1L,breathing,
72,80,1R,breathing,
73,80,5L,breathing,
74,80,7R,breathing,
75,80,11L,breathing,
76,80,12R,breathing,
77,80,13R,breathing,
78,80,14L,breathing,
79,80,14R,breathing,
80,80,15R,breathing,
81,90,1L,breathing,
82,90,1R,breathing,
83,90,5L,breathing,
84,90,7R,breathing,
85,90,11L,breathing,
86,90,12R,breathing,
87,90,13R,breathing,
88,90,14L,breathing,
89,90,14R,breathing,
90,90,15R,breathing,
91,100,1L,breathing,
92,100,1R,breathing,
93,100,5L,breathing,
94,100,7R,breathing,
95,100,11L,breathing,
96,100,12R,breathing,
97,100,13R,breathing,
98,100,14L,breathing,
99,100,14R,breathing,
100,100,15R,breathing,
101,110,1L,breathing,
102,110,1R,breathing,
103,110,5L,breathing,
104,110,7R,breathing,
105,110,11L,breathing,
106,110,12R,breathing,
107,110,13R,breathing,
108,110,14L,breathing,
109,110,14R,breathing,
110,110,15R,breathing,
111,120,1L,breathing,
112,120,1R,breathing,
113,120,5L,breathing,
114,120,7R,breathing,
115,120,11L,breathing,
116,120,12R,breathing,
117,120,13R,breathing,
118,120,14L,breathing,
119,120,14R,breathing,
120,120,15R,breathing,
121,130,1L,breathing,
122,130,1R,breathing,
123,130,5L,breathing,
124,130,7R,breathing,
125,130,11L,breathing,
126,130,12R,breathing,
127,130,13R,breathing,
128,130,14L,breathing,
129,130,14R,breathing,
130,130,15R,breathing,
131,140,1L,breathing,
132,140,1R,breathing,
133,140,5L,breathing,
134,140,7R,breathing,
135,140,11L,breathing,
136,140,12R,breathing,
137,140,13R,breathing,
138,140,14L,breathing,
139,140,14R,breathing,
140,140,15R,breathing,
141,150,1L,breathing,
142,150,1R,breathing,
143,150,5L,breathing,
144,150,7R,breathing,
145,150,11L,breathing,
146,150,12R,breathing,
147,150,13R,breathing,
148,150,14L,breathing,
149,150,14R,breathing,
150,150,15R,breathing,
151,160,1L,breathing,
152,160,1R,breathing,
153,160,5L,breathing,
154,160,7R,breathing,
155,160,11L,breathing,
156,160,12R,breathing,
157,160,13R,breathing,
158,160,14L,breathing,
159,160,14R,breathing,
160,160,15R,breathing,
161,170,1L,breathing,
162,170,1R,breathing,
163,170,5L,breathing,
164,170,7R,breathing,
165,170,11L,breathing,
166,170,12R,breathing,
167,170,13R,breathing,
168,170,14L,breathing,
169,170,14R,breathing,
170,170,15R,breathing,
171,180,1L,breathing,
172,180,1R,breathing,
173,180,5L,breathing,
174,180,7R,breathing,
175,180,11L,breathing,
176,180,12R,breathing,
177,180,13R,breathing,
178,180,14L,breathing,
179,180,14R,breathing,
180,180,15R,breathing,
181,190,1L,breathing,
182,190,1R,breathing,
183,190,5L,breathing,
184,190,7R,breathing,
185,190,11L,breathing,
186,190,12R,breathing,
187,190,13R,breathing,
188,190,14L,breathing,
189,190,14R,breathing,
190,190,15R,breathing,
191,200,1L,breathing,
192,200,1R,breathing,
193,200,5L,breathing,
194,200,7R,breathing,
195,200,11L,breathing,
196,200,12R,breathing,
197,200,13R,breathing,
198,200,14L,breathing,
199,200,14R,breathing,
200,200,15R,breathing,
201,210,1L,breathing,
202,210,1R,breathing,
203,210,5L,breathing,
204,210,7R,breathing,
205,210,11L,breathing,
