id,timeInS,studentPlace,distortion,
0,10,02R,eat,
1,20,02R,breathing,
2,311,01L,writing,
3,311,01R,writing,
4,311,02L,writing,
5,311,02R,writing,
6,311,03L,writing,
7,311,03R,writing,
8,311,04L,writing,
9,311,04R,writing,
10,311,05L,writing,
11,311,05R,writing,
12,311,06L,writing,
13,311,06R,writing,
14,311,07L,writing,
15,311,07R,writing,
16,311,08L,writing,
17,311,08R,writing,
18,311,09L,writing,
19,311,09R,writing,
20,311,10L,writing,
21,311,10R,writing,
22,311,11L,writing,
23,311,11R,writing,
24,311,12L,writing,
25,311,12R,writing,
26,311,13L,writing,
27,311,13R,writing,
28,311,14L,writing,
29,311,14R,writing,
30,311,15L,writing,
31,311,15R,writing,
32,321,02L,playing,
33,336,02L,writing,
34,341,04L,chatting,
35,356,11R,eat,
36,356,04L,writing,
37,371,11R,writing,
38,371,07L,chatting,
39,371,15R,letargic,
40,371,11L,letargic,
41,386,07L,writing,
42,386,15R,writing,
43,386,11L,writing,
44,391,07L,hit,
45,406,07L,writing,
46,411,03L,throw,
47,426,03L,writing,
48,431,12L,eat,
49,441,12R,chatting,
50,446,12L,writing,
51,456,12R,writing,
52,461,02L,playing,
53,476,02L,writing,
54,476,07L,hit,
55,491,07L,writing,
56,531,02L,playing,
57,546,02L,breathing,
58,551,04L,chatting,
59,566,11R,eat,
60,566,04L,writing,
61,581,11R,breathing,
62,581,07L,chatting,
63,581,15R,letargic,
64,581,11L,letargic,
65,596,07L,writing,
66,596,15R,breathing,
67,596,11L,writing,
68,601,07L,hit,
69,616,07L,writing,
70,621,03L,throw,
71,636,03L,breathing,
72,641,12L,eat,
73,651,12R,chatting,
74,656,12L,breathing,
75,666,12R,writing,
76,671,02L,playing,
77,686,02L,writing,
78,686,07L,hit,
79,701,07L,breathing,
