id,time,student,behaviour,
﻿0,10,02R,eat,
1,20,02R,breathing,
2,21,02L,playing,
3,36,02L,breathing,
4,41,04L,chatting,
5,56,11R,eat,
6,56,04L,writing,
7,71,11R,breathing,
8,71,07L,chatting,
9,71,15R,letargic,
10,71,11L,letargic,
11,86,07L,writing,
12,86,15R,breathing,
13,86,11L,writing,
14,91,07L,hit,
15,106,07L,writing,
16,111,03L,throw,
17,126,03L,breathing,
18,131,12L,eat,
19,141,12R,chatting,
20,146,12L,breathing,
21,156,12R,writing,
22,161,02L,playing,
23,176,02L,writing,
24,176,07L,hit,
25,191,07L,breathing,
