id,time,student,behaviour,
2,2,all,writing,
32,11,02L,playing,
33,36,02L,writing,
34,41,04L,chatting,
35,56,11R,eat,
36,56,04L,writing,
37,71,11R,writing,
38,71,07L,chatting,
39,71,15R,letargic,
40,71,11L,letargic,
41,86,07L,writing,
42,86,15R,writing,
43,86,11L,writing,
44,91,07L,hit,
45,106,07L,writing,
46,111,03L,throw,
47,126,03L,writing,
48,131,12L,eat,
49,141,12R,chatting,
50,146,12L,writing,
51,156,12R,writing,
52,161,02L,playing,
53,176,02L,writing,
54,176,07L,hit,
55,191,07L,writing,
56,231,02L,playing,
57,246,02L,writing,
58,251,04L,chatting,
59,266,11R,eat,
60,266,04L,writing,
61,281,11R,writing,
62,281,07L,chatting,
63,281,15R,letargic,
64,281,11L,letargic,
65,296,07L,writing,
66,296,15R,writing,
67,296,11L,writing,
68,301,07L,hit,
69,316,07L,writing,
70,321,03L,throw,
71,336,03L,writing,
72,341,12L,eat,
73,351,12R,chatting,
74,356,12L,writing,
75,366,12R,writing,
76,371,02L,playing,
77,386,02L,writing,
78,386,07L,hit,
79,401,07L,writing,
