id,time,student,behaviour,
﻿2,2,all,writing,
32,41,04L,chatting,
33,56,04L,writing,
34,71,07L,chatting,
35,71,15R,letargic,
36,86,07L,writing,
37,86,15R,writing,
38,111,03L,throw,
39,126,03L,writing,
40,131,12L,eat,
41,146,12L,writing,
42,161,02L,playing,
43,176,02L,writing,
44,251,04L,chatting,
45,266,04L,writing,
46,281,07L,chatting,
47,281,15R,letargic,
48,296,07L,writing,
49,296,15R,breathing,
50,321,03L,throw,
51,336,03L,breathing,
52,341,12L,eat,
53,356,12L,breathing,
54,371,02L,playing,
55,386,02L,writing,
