id,time,student,behaviour,
﻿0,10,02R,eat,
1,20,02R,breathing,
2,341,04L,chatting,
3,356,04L,writing,
4,371,07L,chatting,
5,371,15R,letargic,
6,386,07L,writing,
7,386,15R,breathing,
8,411,03L,throw,
9,426,03L,breathing,
10,431,12L,eat,
11,446,12L,breathing,
12,461,02L,playing,
13,476,02L,writing,
14,521,all,writing,
44,551,04L,chatting,
45,566,04L,writing,
46,581,07L,chatting,
47,581,15R,letargic,
48,596,07L,writing,
49,596,15R,writing,
50,621,03L,throw,
51,636,03L,writing,
52,641,12L,eat,
53,656,12L,writing,
54,671,02L,playing,
55,686,02L,writing,
