id,time,student,behaviour,
0,10,02R,eat,
1,20,02R,breathing,
2,321,02L,playing,
3,336,02L,breathing,
4,341,04L,chatting,
5,356,11R,eat,
6,356,04L,writing,
7,371,11R,breathing,
8,371,07L,chatting,
9,371,15R,letargic,
10,371,11L,letargic,
11,386,07L,writing,
12,386,15R,breathing,
13,386,11L,writing,
14,391,07L,hit,
15,406,07L,writing,
16,411,03L,throw,
17,426,03L,breathing,
18,431,12L,eat,
19,441,12R,chatting,
20,446,12L,breathing,
21,456,12R,writing,
22,461,02L,playing,
23,476,02L,writing,
24,476,07L,hit,
25,491,07L,breathing,
26,521,all,writing,
56,531,02L,playing,
57,546,02L,writing,
58,551,04L,chatting,
59,566,11R,eat,
60,566,04L,writing,
61,581,11R,writing,
62,581,07L,chatting,
63,581,15R,letargic,
64,581,11L,letargic,
65,596,07L,writing,
66,596,15R,writing,
67,596,11L,writing,
68,601,07L,hit,
69,616,07L,writing,
70,621,03L,throw,
71,636,03L,writing,
72,641,12L,eat,
73,651,12R,chatting,
74,656,12L,writing,
75,666,12R,writing,
76,671,02L,playing,
77,686,02L,writing,
78,686,07L,hit,
79,701,07L,writing,
