id,time,student,behaviour,
0,10,02R,eat,
1,20,02R,breathing,
2,0,all,writing,
32,321,02L,playing,
33,336,02L,writing,
34,341,04L,chatting,
35,356,11R,eat,
36,356,04L,writing,
37,371,11R,writing,
38,371,07L,chatting,
39,371,15R,letargic,
40,371,11L,letargic,
41,386,07L,writing,
42,386,15R,writing,
43,386,11L,writing,
44,391,07L,hit,
45,406,07L,writing,
46,411,03L,throw,
47,426,03L,writing,
48,431,12L,eat,
49,441,12R,chatting,
50,446,12L,writing,
51,456,12R,writing,
52,461,02L,playing,
53,476,02L,writing,
54,476,07L,hit,
55,491,07L,writing,
56,531,02L,playing,
57,546,02L,breathing,
58,551,04L,chatting,
59,566,11R,eat,
60,566,04L,writing,
61,581,11R,breathing,
62,581,07L,chatting,
63,581,15R,letargic,
64,581,11L,letargic,
65,596,07L,writing,
66,596,15R,breathing,
67,596,11L,writing,
68,601,07L,hit,
69,616,07L,writing,
70,621,03L,throw,
71,636,03L,breathing,
72,641,12L,eat,
73,651,12R,chatting,
74,656,12L,breathing,
75,666,12R,writing,
76,671,02L,playing,
77,686,02L,writing,
78,686,07L,hit,
79,701,07L,breathing,
